DONG_CODE,GU,DONG,km_cluster
1171056200,송파구,방이2동,5
1171056600,송파구,오륜동,9
1171057000,송파구,오금동,3
1171058000,송파구,송파1동,6
1171059000,송파구,송파2동,6
1171060000,송파구,석촌동,5
1171061000,송파구,삼전동,6
1171062000,송파구,가락본동,3
1171063100,송파구,가락1동,3
1171063200,송파구,가락2동,3
1171064100,송파구,문정1동,7
1171064200,송파구,문정2동,8
1171064600,송파구,장지동,3
1171064700,송파구,위례동,9
1171065000,송파구,잠실본동,3
1171067000,송파구,잠실2동,9
1171068000,송파구,잠실3동,3
1171069000,송파구,잠실4동,9
1171071000,송파구,잠실6동,9
1171072000,송파구,잠실7동,6
1174051500,강동구,강일동,8
1174052500,강동구,상일1동,9
1174052600,강동구,상일2동,3
1174053000,강동구,명일1동,7
1174054000,강동구,명일2동,3
1174055000,강동구,고덕1동,8
1174056000,강동구,고덕2동,8
1174057000,강동구,암사1동,4
1174058000,강동구,암사2동,8
1174059000,강동구,암사3동,9
1174060000,강동구,천호1동,5
1174061000,강동구,천호2동,3
1174062000,강동구,천호3동,5
1174064000,강동구,성내1동,7
1174065000,강동구,성내2동,5
1174066000,강동구,성내3동,5
1174068500,강동구,길동,3
1174069000,강동구,둔촌1동,8
1174070000,강동구,둔촌2동,8
