,구이름,행정동,SUBWAY_NUM,STARBUCKS_NUM,SPORT_NUM,SAFE_DLVR_NUM,MC_NUM,KINDER_NUM,KIDS_NUM,GYM_NUM,GOLF_NUM,ACADEMY_NUM,ANIMAL_HSPT_NUM,BIKE_NUM,CAFE,CAR_SHR_NUM,CCTV_NUM,CHILD_MED_NUM,CON_NUM,DPTM_NUM
115,성북구,안암동,0.0,3.0,0.0,1.0,1.0,10.0,0.0,8.0,0.0,10.0,0.0,6.0,68.0,3.0,56.0,4.0,21.0,0.0
116,성북구,보문동,0.0,0.0,0.0,1.0,0.0,10.0,0.0,5.0,1.0,22.0,4.0,2.0,21.0,4.0,77.0,3.0,10.0,0.0
117,성북구,정릉제1동,0.1111111111111111,0.25,0.0,0.1736111111111111,0.0,12.569444444444445,0.2638888888888889,1.7083333333333335,0.986111111111111,28.145833333333336,1.6388888888888888,1.986111111111111,10.104166666666668,1.4375,29.145833333333332,3.4236111111111107,4.458333333333334,0.1111111111111111
118,성북구,정릉제2동,0.0,0.027777777777777776,0.0,0.0625,0.0,3.6805555555555554,0.1527777777777778,0.7083333333333334,0.7638888888888888,11.368055555555555,0.3055555555555556,0.7638888888888888,4.548611111111111,0.5486111111111112,22.256944444444443,1.6458333333333333,2.4583333333333335,0.0
119,성북구,정릉제3동,0.0,0.0,0.0,0.0625,0.0,3.125,0.125,0.625,0.625,8.8125,0.25,0.625,4.1875,0.4375,20.8125,1.5625,2.375,0.0
120,성북구,정릉제4동,0.0,0.0,0.0,0.0625,0.0,3.125,0.125,0.625,0.625,8.8125,0.25,0.625,4.1875,0.4375,20.8125,1.5625,2.375,0.0
121,성북구,길음제1동,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.0,8.88888888888889,0.1111111111111111,1.0,0.2222222222222222,16.77777777777778,1.3333333333333333,1.222222222222222,5.555555555555556,0.8888888888888888,6.888888888888889,1.7777777777777777,2.0,0.1111111111111111
122,성북구,길음제2동,0.2222222222222222,0.4444444444444444,0.0,0.1111111111111111,0.0,11.11111111111111,0.4444444444444444,2.111111111111111,0.8888888888888888,27.666666666666664,2.4444444444444446,2.2222222222222223,11.777777777777779,1.8888888888888888,24.444444444444443,3.4444444444444446,4.222222222222222,0.1111111111111111
123,성북구,종암동,1.0,2.0,0.0,1.0,1.0,50.0,2.0,7.0,6.0,89.0,6.0,5.0,35.0,5.0,134.0,19.0,17.0,0.0
124,성북구,월곡제1동,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,2.2222222222222223,0.3333333333333333,1.1111111111111112,0.6666666666666666,10.888888888888888,1.1111111111111112,1.0,6.222222222222222,1.0,17.555555555555554,1.6666666666666667,2.2222222222222223,0.0
125,성북구,월곡제2동,1.1111111111111112,0.2222222222222222,0.0,0.0,0.0,12.222222222222221,0.3333333333333333,2.111111111111111,3.6666666666666665,26.888888888888886,1.1111111111111112,2.0,18.22222222222222,2.0,83.55555555555556,2.666666666666667,7.222222222222222,0.0
126,성북구,장위제1동,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,7.777777777777778,0.0,0.5555555555555556,0.1111111111111111,7.0,1.1111111111111112,0.7777777777777778,4.555555555555555,0.1111111111111111,39.11111111111111,0.3333333333333333,2.777777777777778,0.0
127,성북구,장위제2동,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,7.777777777777778,0.0,0.5555555555555556,0.1111111111111111,7.0,1.1111111111111112,0.7777777777777778,4.555555555555555,0.1111111111111111,39.11111111111111,0.3333333333333333,2.777777777777778,0.0
128,성북구,장위제3동,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,7.777777777777778,0.0,0.5555555555555556,0.1111111111111111,7.0,1.1111111111111112,0.7777777777777778,4.555555555555555,0.1111111111111111,39.11111111111111,0.3333333333333333,2.777777777777778,0.0
129,성북구,석관동,0.0,0.0,0.0,1.0,0.0,50.0,2.0,6.0,2.0,47.0,4.0,7.0,30.0,3.0,155.0,3.0,11.0,0.0
130,강북구,삼양동,0.16,0.12,0.0,0.08,0.08,6.8,0.2,0.8800000000000001,0.12,10.08,1.2,0.8800000000000001,4.36,0.96,9.120000000000001,1.8800000000000001,2.04,0.0
131,강북구,미아동,0.16,0.12,0.0,0.08,0.08,6.8,0.2,0.8800000000000001,0.12,10.08,1.2,0.8800000000000001,4.36,0.96,9.120000000000001,1.8800000000000001,2.04,0.0
132,강북구,송중동,0.16,0.12,0.0,0.08,0.08,6.8,0.2,0.8800000000000001,0.12,10.08,1.2,0.8800000000000001,4.36,0.96,9.120000000000001,1.8800000000000001,2.04,0.0
133,강북구,송천동,0.16,0.12,0.0,0.08,0.08,6.8,0.2,0.8800000000000001,0.12,10.08,1.2,0.8800000000000001,4.36,0.96,9.120000000000001,1.8800000000000001,2.04,0.0
