"VEGAN_CODE","VEGAN_NAME","STD_DAY","CATE_CODE","GU","DONG","GU_CODE","DONG_CODE","ADD_STR","LAT","LON","SI_DO_CODE","SI_DO"
5177,"로컬릿","2022-11-02","H113","성동구","옥수동",11040,1120011300,"서울특별시 성동구 한림말길 33 2층",37.5409362,127.0147414,11,"서울특별시"
5178,"홈그라운드","2022-11-02","H113","성동구","옥수동",11040,1120011300,"서울특별시 성동구 한림말길 22-20 지하 1층",37.5404729,127.0132086,11,"서울특별시"
4968,"본죽 정릉점","2022-11-02","H113","성북구","정릉동",11080,1129013300,"서울특별시 성북구 보국문로 38 (정릉동)",37.6078648,127.0103709,11,"서울특별시"
4969,"보리보리옥선이 시골밥상 (성북)","2022-11-02","H113","성북구","정릉동",11080,1129013300,"서울특별시 성북구 솔샘로1길 19 그린존",37.6082606,127.0038759,11,"서울특별시"
4677,"본 죽&비빔밥 종로5가점","2022-11-02","H113","종로구","종로4가",11010,1111016100,"서울특별시 종로구 종로 199-1 (종로4가) ",37.5711405,126.9999103,11,"서울특별시"
5163,"본죽 이대점","2022-11-02","H113","서대문구","대현동",11130,1141011200,"서울특별시 서대문구 이화여대3길 16 (대현동, 성연빌딩) 1층",37.5580737,126.9448407,11,"서울특별시"
5164,"본도시락 이대점","2022-11-02","H113","서대문구","대현동",11130,1141011200,"서울특별시 서대문구 이화여대5길 15 (대현동) ",37.5582901,126.9448603,11,"서울특별시"
5165,"포케포케","2022-11-02","H113","서대문구","대현동",11130,1141011200,"서울특별시 서대문구 이화여대5길 15",37.5582901,126.9448603,11,"서울특별시"
5166,"위샐러듀","2022-11-02","H113","서대문구","대현동",11130,1141011200,"서울특별시 서대문구 이화여대길 52-31",37.5594514,126.944742,11,"서울특별시"
5167,"베지베어","2022-11-02","H113","서대문구","대현동",11130,1141011200,"서울특별시 서대문구 신촌역로 22-5",37.5589045,126.9430407,11,"서울특별시"
5168,"홍도깨비","2022-11-02","H113","서대문구","대현동",11130,1141011200,"서울특별시 서대문구 이화여대1길 42-8",37.5575399,126.9435919,11,"서울특별시"
5271,"샐러디 (홍대입구역점)","2022-11-02","H113","마포구","동교동",11140,1144012100,"서울특별시 마포구 양화로 183, 102호(동교동, 효성홍익인간오피스텔)",37.5583647,126.9251655,11,"서울특별시"
5272,"할랄가이즈 (홍대)","2022-11-02","H113","마포구","동교동",11140,1144012100,"서울특별시 마포구 양화로 161",37.5569333,126.9233186,11,"서울특별시"
4983,"본 죽&비빔밥 신도림점","2022-11-02","H113","구로구","신도림동",11170,1153010100,"서울특별시 구로구 경인로59길 8 (신도림동) 태영프라자 112호",37.5064017,126.8833727,11,"서울특별시"
4215,"자연드림 구로신도림점","2022-11-02","H113","구로구","신도림동",11170,1153010100,"서울특별시 구로구 경인로65길 44 보미플라자 112-115호",37.5095723,126.8851691,11,"서울특별시"
4757,"본 죽&비빔밥 양재은광여고점","2022-11-02","H113","강남구","도곡동",11230,1168011800,"서울특별시 강남구 남부순환로361길 9 (도곡동, 천성빌딩) ",37.4855614,127.0370322,11,"서울특별시"
4758,"본 죽&비빔밥 매봉역점","2022-11-02","H113","강남구","도곡동",11230,1168011800,"서울특별시 강남구 남부순환로378길 12 (도곡동) ",37.4854259,127.0458763,11,"서울특별시"
4759,"아이엠","2022-11-02","H113","강남구","도곡동",11230,1168011800,"서울특별시 강남구 강남대로48길 25",37.4873919,127.0349846,11,"서울특별시"
4760,"죠샌드위치 (도곡렉슬)","2022-11-02","H113","강남구","도곡동",11230,1168011800,"서울특별시 강남구 선릉로 225",37.495284,127.0526605,11,"서울특별시"
3972,"에코생협 도곡점","2022-11-02","H113","강남구","도곡동",11230,1168011800,"서울특별시 강남구 남부순환로365길 22 (도곡동)",37.4868698,127.0394691,11,"서울특별시"
5279,"본죽 자곡점","2022-11-02","H113","강남구","자곡동",11230,1168011200,"서울특별시 강남구 자곡로 201 (자곡동, 강남더샵라르고) 121호",37.47538,127.1046926,11,"서울특별시"
5039,"본죽 송파점","2022-11-02","H113","송파구","송파동",11240,1171010400,"서울특별시 송파구 가락로 176 (송파동)  경진빌딩 1층",37.5042161,127.1145615,11,"서울특별시"
5040,"인딕슬로우 (송파)","2022-11-02","H113","송파구","송파동",11240,1171010400,"서울특별시 송파구 백제고분로45길 28 벤도치빌딩2층",37.510371,127.1086749,11,"서울특별시"
5041,"샐러디치오도씨","2022-11-02","H113","송파구","송파동",11240,1171010400,"서울특별시 송파구 송파대로48길 7",37.5087504,127.1052669,11,"서울특별시"
4262,"한살림 송파매장","2022-11-02","H113","송파구","송파동",11240,1171010400,"서울특별시 송파구 송이로 27 1층",37.5028635,127.1168395,11,"서울특별시"
4403,"한살림 자곡매장","2022-11-02","H113","강남구","자곡동",11230,1168011200,"서울특별시 강남구 자곡로 180 강남유탑유블레스 1층 (자곡동 651)",37.4736204,127.103176,11,"서울특별시"
5219,"샐러디 (영등포시장점)","2022-11-02","H113","영등포구","영등포동7가",11190,1156010800,"서울특별시 영등포구 국회대로50길 20, 119호(영등포동7가, 포레나 영등포)",37.5234052,126.9056207,11,"서울특별시"
5293,"본도시락 신용산점","2022-11-02","H113","용산구","한강로3가",11030,1117012800,"서울특별시 용산구 한강대로 54-1 (한강로3가) ",37.5255063,126.9647698,11,"서울특별시"
5294,"본 죽&비빔밥 용산역아이파크몰점","2022-11-02","H113","용산구","한강로3가",11030,1117012800,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역) 용산역사 아이파크몰 4층",37.5296317,126.9646109,11,"서울특별시"
5295,"샐러디 (한강로점)","2022-11-02","H113","용산구","한강로3가",11030,1117012800,"서울특별시 용산구 한강대로10길 11-46, 1층, 2층(한강로3가)",37.5244878,126.9647273,11,"서울특별시"
5496,"전환마을 부엌밥풀꽃","2022-11-02","H113","은평구","구산동",11120,1138010500,"서울특별시 은평구 연서로15길 8",37.6106947,126.9160994,11,"서울특별시"
4557,"은평두레생협 구산점","2022-11-02","H113","은평구","구산동",11120,1138010500,"서울특별시 은평구 서오릉로 175, 엘타워 102호",37.6126574,126.9139755,11,"서울특별시"
5312,"본 죽&비빔밥 개봉점","2022-11-02","H113","구로구","개봉동",11170,1153010700,"서울특별시 구로구 남부순환로97길 11 (개봉동) 1층",37.4942059,126.8583703,11,"서울특별시"
4876,"본도시락 보라매점","2022-11-02","H113","동작구","대방동",11200,1159010800,"서울특별시 동작구 상도로 42 (대방동) 1층 2호",37.4995991,126.9251715,11,"서울특별시"
